,Country,TIME,age,birth_year,number_people,Classification
3,European Union - 28 countries,2019,18,2001,5466860.0,Generation_Z
4,European Union - 28 countries,2019,19,2000,5465394.0,Generation_Z
5,European Union - 28 countries,2019,20,1999,5551222.0,Generation_Z
6,European Union - 28 countries,2019,21,1998,5656744.0,Generation_Z
7,European Union - 28 countries,2019,22,1997,5740663.0,Generation_Z
8,European Union - 28 countries,2019,23,1996,5782370.0,Generation_Z
9,European Union - 28 countries,2019,24,1995,5910697.0,Generation_Z
10,European Union - 28 countries,2019,25,1994,6045948.0,Others
11,European Union - 28 countries,2019,26,1993,6223799.0,Others
12,European Union - 28 countries,2019,27,1992,6363169.0,Others
13,European Union - 28 countries,2019,28,1991,6529362.0,Others
14,European Union - 28 countries,2019,29,1990,6519926.0,Others
15,European Union - 28 countries,2019,30,1989,6603822.0,Others
16,European Union - 28 countries,2019,31,1988,6548938.0,Others
17,European Union - 28 countries,2019,32,1987,6581197.0,Others
18,European Union - 28 countries,2019,33,1986,6606834.0,Others
19,European Union - 28 countries,2019,34,1985,6646107.0,Others
20,European Union - 28 countries,2019,35,1984,6666171.0,Others
21,European Union - 28 countries,2019,36,1983,6826047.0,Others
22,European Union - 28 countries,2019,37,1982,6884150.0,Others
23,European Union - 28 countries,2019,38,1981,7016241.0,Others
24,European Union - 28 countries,2019,39,1980,6971167.0,Others
25,European Union - 28 countries,2019,40,1979,6963748.0,Others
26,European Union - 28 countries,2019,41,1978,6989501.0,Others
27,European Union - 28 countries,2019,42,1977,7030900.0,Others
28,European Union - 28 countries,2019,43,1976,7074143.0,Others
29,European Union - 28 countries,2019,44,1975,7173806.0,Others
30,European Union - 28 countries,2019,45,1974,7113119.0,Others
31,European Union - 28 countries,2019,46,1973,7253356.0,Others
32,European Union - 28 countries,2019,47,1972,7366102.0,Others
33,European Union - 28 countries,2019,48,1971,7371062.0,Others
34,European Union - 28 countries,2019,49,1970,7468432.0,Others
35,European Union - 28 countries,2019,50,1969,7534914.0,Others
36,European Union - 28 countries,2019,51,1968,7561931.0,Others
37,European Union - 28 countries,2019,52,1967,7428970.0,Others
38,European Union - 28 countries,2019,53,1966,7435254.0,Others
39,European Union - 28 countries,2019,54,1965,7510485.0,Others
40,European Union - 28 countries,2019,55,1964,7344722.0,Others
41,European Union - 28 countries,2019,56,1963,7148926.0,Others
42,European Union - 28 countries,2019,57,1962,7083654.0,Others
43,European Union - 28 countries,2019,58,1961,6987211.0,Others
44,European Union - 28 countries,2019,59,1960,6878760.0,Others
45,European Union - 28 countries,2019,60,1959,6722713.0,Others
46,European Union - 28 countries,2019,61,1958,6638980.0,Others
47,European Union - 28 countries,2019,62,1957,6510616.0,Others
48,European Union - 28 countries,2019,63,1956,6384437.0,Others
49,European Union - 28 countries,2019,64,1955,6218797.0,Others
50,European Union - 28 countries,2019,65,1954,6038621.0,Others
